Fecha,total_internacional,aerea,terrestre,maritima,america_centro,america_norte,europa
2018-12-01,221608.95833792983,156607.3959668107,237122.09534740119,20945.000000000004,301254.13414134795,65049.604659914854,14125.357984432761
2019-01-01,207194.74981634179,126566.13349998859,231079.6163163532,23513,281061.70492855995,47828.000000000007,14724.708446837318
2019-02-01,169068.90763189856,106574.12156398408,178776.78606791448,13685,215845.97483533187,45015.999999999993,13868.244743400321
2019-03-01,230407.99034261287,118895.93695089713,240862.05339171574,20991.000000000004,278723.46847999998,55370,13904.083808471227
2019-04-01,231265.54816249834,125309.99999999897,263228.54816249857,17393,316516.99999999913,48777.999999999847,11110.610124178693
2019-05-01,178966.34011314588,109523.99999999949,189773.34011314565,1992,235948.99999999924,43339.00000000024,8259.6895514563403
2019-06-01,192800.5553659852,127604.99999999904,205556.55536598503,0,253202.99999999886,61958.000000000153,7212.748080928468
2019-07-01,219254.69097193918,138562.64109759167,226771.04987434755,1966,274104.24383442267,66271.999999999985,12848.090689428765
2019-08-01,222005.75428666305,115044.99999999999,250467.75428666285,0,293027.99999999977,48254.000000000189,12647.026976547046
2019-09-01,160601.07724295714,101240.07692307641,197010.00031988014,1294,247174.99999999942,32571.00000000008,7419.0098600790707
2019-10-01,170100.99136425377,119128.99999999866,175374.9913642538,17004,232198.99999999869,41435,9658.1697183890428
2019-11-01,196458.92607853361,137092.00000000224,198691.92607853384,23599,260704.00000000247,47094.999999999753,15912.171799593107
2019-12-01,250685.07050016732,157842.00000000003,291272.07050016738,9352,359173.00000000012,64640.999999999935,13673.411952743774
2020-01-01,220991.6026616116,130697.00219828535,257525.60046332626,19028,307939.55172413791,51644,15121.596391368887
2020-02-01,188193.97651759206,112885.99999999996,205031.97651759212,16419,239370,51210,16224.108617374681
2020-03-01,87659.576092064395,54830.992130115425,100584.58396194897,6545,121339.25,23675,5748.3072403387087
2020-04-01,0,489,9550,0,10039,0,0
2020-05-01,0,610,9169,0,9779,0,0
2020-06-01,0,1418,10399,0,11817,0,0
2020-07-01,0,1047,12437,0,13484,0,0
2020-08-01,0,1259,14098,0,15357,0,0
2020-09-01,1932.4926829268293,5606,6966.4926829268297,0,11220.49268292683,1144,22
2020-10-01,5810.5343489551287,5307.9323043198447,11372.852044635285,0,14208.773559687135,1831.2784431059997,202.14656290102596
2020-11-01,29102,38994,13871,0,36164,12742,1461
2020-12-01,18307,50380,5240,0,39679,13549,1008
2021-01-01,45537,40805,49155,0,71529,13870,2128
2021-02-01,22512,28784,23821,0,42917,7313,946
2021-03-01,55699.396333417353,58807.139618926849,26210.256714490501,0,53656.378976334621,25250,2511.1132655151227
2021-04-01,40237.190221464305,33048.102901499005,26695.087319965292,0,37903,17564,1957.1727574750762
2021-05-01,38823,58366,15507,0,49645,19349,2150
2021-06-01,55079,73416,21730,0,60745,28504,2099
2021-07-01,58016.664333592562,70340,27254.664333592562,0,64960,26905,2456
2021-08-01,41143,50329,21998,0,51192,15939,2367
2021-09-01,39405.999999999964,45550.999999999964,21472,0,48794,13003,1816
2021-10-01,50154,53420,30108,0,59170,16873,3245
2021-11-01,58549,68351,30227,1313,64724,22724,5746
2021-12-01,156967.12780119659,122254,101315.12780119659,2595,149703,57595,8958.2173913043407
2022-01-01,77609,97752,36551,676,86499,31451,8829
