lago,bloque_x,bloque_y,n,positivos,fp,fn,tp,errores,x_centro,y_centro,tasa_error_pct,tasa_fp_pct,tasa_fn_pct
atitlan,699,1625,107588,0,0,0,0,0,699500.0,1625500.0,0.0,0.0,
atitlan,699,1626,107608,0,0,0,0,0,699500.0,1626500.0,0.0,0.0,
atitlan,699,1627,106885,0,0,0,0,0,699500.0,1627500.0,0.0,0.0,
atitlan,699,1628,95406,0,0,0,0,0,699500.0,1628500.0,0.0,0.0,
atitlan,699,1629,31909,0,0,0,0,0,699500.0,1629500.0,0.0,0.0,
atitlan,699,1630,8,0,0,0,0,0,699500.0,1630500.0,0.0,0.0,
atitlan,699,1631,84,0,0,0,0,0,699500.0,1631500.0,0.0,0.0,
atitlan,700,1618,3912,498,292,57,441,349,700500.0,1618500.0,8.921267893660533,8.553016988869361,11.44578313253012
atitlan,700,1619,37092,202,284,54,148,338,700500.0,1619500.0,0.9112477084007333,0.7698563296286256,26.73267326732673
atitlan,700,1620,65711,0,5,0,0,5,700500.0,1620500.0,0.007609076105979212,0.007609076105979212,
atitlan,700,1621,98661,0,0,0,0,0,700500.0,1621500.0,0.0,0.0,
atitlan,700,1622,106582,0,0,0,0,0,700500.0,1622500.0,0.0,0.0,
atitlan,700,1623,106746,0,0,0,0,0,700500.0,1623500.0,0.0,0.0,
atitlan,700,1624,106574,0,0,0,0,0,700500.0,1624500.0,0.0,0.0,
atitlan,700,1625,104688,0,0,0,0,0,700500.0,1625500.0,0.0,0.0,
atitlan,700,1626,98524,0,0,0,0,0,700500.0,1626500.0,0.0,0.0,
atitlan,700,1627,81506,0,0,0,0,0,700500.0,1627500.0,0.0,0.0,
atitlan,700,1628,35335,2,0,2,0,2,700500.0,1628500.0,0.005660110372152257,0.0,100.0
atitlan,700,1629,22,0,0,0,0,0,700500.0,1629500.0,0.0,0.0,
atitlan,700,1631,17,0,0,0,0,0,700500.0,1631500.0,0.0,0.0,
atitlan,701,1619,565,0,0,0,0,0,701500.0,1619500.0,0.0,0.0,
atitlan,701,1620,10253,0,0,0,0,0,701500.0,1620500.0,0.0,0.0,
atitlan,701,1621,62129,0,0,0,0,0,701500.0,1621500.0,0.0,0.0,
atitlan,701,1622,103855,0,0,0,0,0,701500.0,1622500.0,0.0,0.0,
atitlan,701,1623,105736,0,0,0,0,0,701500.0,1623500.0,0.0,0.0,
atitlan,701,1624,103417,0,0,0,0,0,701500.0,1624500.0,0.0,0.0,
atitlan,701,1625,95775,0,0,0,0,0,701500.0,1625500.0,0.0,0.0,
atitlan,701,1626,31850,0,0,0,0,0,701500.0,1626500.0,0.0,0.0,
atitlan,701,1627,8201,0,0,0,0,0,701500.0,1627500.0,0.0,0.0,
atitlan,702,1621,18215,0,0,0,0,0,702500.0,1621500.0,0.0,0.0,
atitlan,702,1622,57859,0,0,0,0,0,702500.0,1622500.0,0.0,0.0,
atitlan,702,1623,52487,0,0,0,0,0,702500.0,1623500.0,0.0,0.0,
atitlan,702,1624,43692,1,0,1,0,1,702500.0,1624500.0,0.002288748512313467,0.0,100.0
atitlan,702,1625,33041,0,0,0,0,0,702500.0,1625500.0,0.0,0.0,
atitlan,702,1626,76,0,0,0,0,0,702500.0,1626500.0,0.0,0.0,
atitlan,703,1614,431,0,0,0,0,0,703500.0,1614500.0,0.0,0.0,
atitlan,703,1615,216,0,0,0,0,0,703500.0,1615500.0,0.0,0.0,
atitlan,703,1616,316,0,0,0,0,0,703500.0,1616500.0,0.0,0.0,
atitlan,703,1617,126,0,0,0,0,0,703500.0,1617500.0,0.0,0.0,
atitlan,703,1624,175,0,0,0,0,0,703500.0,1624500.0,0.0,0.0,
atitlan,704,1614,116,0,0,0,0,0,704500.0,1614500.0,0.0,0.0,
atitlan,704,1615,18,0,0,0,0,0,704500.0,1615500.0,0.0,0.0,
atitlan,704,1617,49,0,0,0,0,0,704500.0,1617500.0,0.0,0.0,
atitlan,704,1618,1347,0,0,0,0,0,704500.0,1618500.0,0.0,0.0,
atitlan,705,1614,109,0,0,0,0,0,705500.0,1614500.0,0.0,0.0,
atitlan,705,1617,97,0,0,0,0,0,705500.0,1617500.0,0.0,0.0,
atitlan,705,1618,2146,0,0,0,0,0,705500.0,1618500.0,0.0,0.0,
atitlan,705,1619,63,0,0,0,0,0,705500.0,1619500.0,0.0,0.0,
atitlan,706,1614,279,0,0,0,0,0,706500.0,1614500.0,0.0,0.0,
atitlan,706,1615,340,0,0,0,0,0,706500.0,1615500.0,0.0,0.0,
atitlan,706,1619,1645,0,0,0,0,0,706500.0,1619500.0,0.0,0.0,
atitlan,706,1621,21,0,0,0,0,0,706500.0,1621500.0,0.0,0.0,
atitlan,706,1622,169,0,0,0,0,0,706500.0,1622500.0,0.0,0.0,
atitlan,706,1623,86,0,0,0,0,0,706500.0,1623500.0,0.0,0.0,
atitlan,706,1624,9,0,0,0,0,0,706500.0,1624500.0,0.0,0.0,
atitlan,706,1625,5,0,0,0,0,0,706500.0,1625500.0,0.0,0.0,
atitlan,707,1615,2158,0,0,0,0,0,707500.0,1615500.0,0.0,0.0,
atitlan,707,1616,62,0,0,0,0,0,707500.0,1616500.0,0.0,0.0,
atitlan,707,1619,12,0,0,0,0,0,707500.0,1619500.0,0.0,0.0,
atitlan,707,1624,117,0,0,0,0,0,707500.0,1624500.0,0.0,0.0,
